ImageNumber,Obj_0_X1,Obj_0_X2,Obj_0_Y1,Obj_0_Y2,Obj_1_X1,Obj_1_X2,Obj_1_Y1,Obj_1_Y2,Obj_2_X1,Obj_2_X2,Obj_2_Y1,Obj_2_Y2,Obj_3_X1,Obj_3_X2,Obj_3_Y1,Obj_3_Y2,Obj_4_X1,Obj_4_X2,Obj_4_Y1,Obj_4_Y2,Obj_5_X1,Obj_5_X2,Obj_5_Y1,Obj_5_Y2,Obj_6_X1,Obj_6_X2,Obj_6_Y1,Obj_6_Y2
45681,583,621,466,508,,,,,,,,,,,,,,,,,,,,,,,,
45682,583,620.5,466.5,508,,,,,,,,,,,,,,,,,,,,,,,,
45683,583,620,467,508,,,,,,,,,,,,,,,,,,,,,,,,
45684,583.598114,621.098114,467.5,510,,,,,,,,,,,,,,,,,,,,,,,,
45685,584.196228,622.196228,468,512,,,,,,,,,,,,,,,,,,,,,,,,
45686,584.5176695,622.56369,468.52919,512.582489,,,,,,,,,,,,,,,,,,,,,,,,
45687,584.839111,622.931152,469.05838,513.164978,,,,,,,,,,,,,,,,,,,,,,,,
45688,585.4195555,623.465576,469.02919,513.082489,,,,,,,,,,,,,,,,,,,,,,,,
45689,586,624,469,513,,,,,,,,,,,,,,,,,,,,,,,,
45690,586,624,469,513,,,,,,,,,,,,,,,,,,,,,,,,
45691,586,624,469,513,,,,,,,,,,,,,,,,,,,,,,,,
45692,585.860962,624.162323,468.4433595,512.2192535,,,,,,,,,,,,,,,,,,,,,,,,
45693,585.721924,624.324646,467.886719,511.438507,,,,,,,,,,,,,,,,,,,,,,,,
45694,585.860962,624.662323,467.9433595,511.7192535,,,,,,,,,,,,,,,,,,,,,,,,
45695,586,625,468,512,,,,,,,,,,,,,,,,,,,,,,,,
45696,586,625,468,512,,,,,,,,,,,,,,,,,,,,,,,,
45697,586,625,468,512,,,,,,,,,,,,,,,,,,,,,,,,
45698,586,625,468,511.5,,,,,,,,,,,,,,,,,,,,,,,,
45699,586,625,468,511,,,,,,,,,,,,,,,,,,,,,,,,
45700,587,625.5,468,510.5,,,,,,,,,,,,,,,,,,,,,,,,
45701,588,626,468,510,,,,,,,,,,,,,,,,,,,,,,,,
45702,587.7607115,625.6059875,467.974182,509.7523195,,,,,,,,,,,,,,,,,,,,,,,,
45703,587.521423,625.211975,467.948364,509.504639,,,,,,,,,,,,,,,,,,,,,,,,
45704,587.5598755,625.0795595,467.872116,509.2400055,,,,,,,,,,,,,,,,,,,,,,,,
45705,587.598328,624.947144,467.795868,508.975372,,,,,,,,,,,,,,,,,,,,,,,,
45706,587.299164,624.973572,467.397934,509.487686,,,,,,,,,,,,,,,,,,,,,,,,
45707,587,625,467,510,,,,,,,,,,,,,,,,,,,,,,,,
45708,586.9690245,624.8547975,466.481827,509.352585,,,,,,,,,,,,,,,,,,,,,,,,
45709,586.938049,624.709595,465.963654,508.70517,,,,,,,,,,,,,,,,,,,,,,,,
45710,587.4690245,625.3547975,465.481827,508.352585,,,,,,,,,,,,,,,,,,,,,,,,
45711,588,626,465,508,,,,,,,,,,,,,,,,,,,,,,,,
45712,587.5,625.5,465,508,,,,,,,,,,,,,,,,,,,,,,,,
45713,587,625,465,508,,,,,,,,,,,,,,,,,,,,,,,,
45714,587.5,625.5,464,507,,,,,,,,,,,,,,,,,,,,,,,,
45715,588,626,463,506,,,,,,,,,,,,,,,,,,,,,,,,
45716,588,625.5,463,506,,,,,,,,,,,,,,,,,,,,,,,,
45717,588,625,463,506,,,,,,,,,,,,,,,,,,,,,,,,
45718,588,625,462.5,505.5,,,,,,,,,,,,,,,,,,,,,,,,
45719,588,625,462,505,,,,,,,,,,,,,,,,,,,,,,,,
