Image_Number,Obj_00_ImagePosLeft,Obj_00_ImagePosRight,Obj_00_ImagePosTop,Obj_00_ImagePosBottom,Obj_01_ImagePosLeft,Obj_01_ImagePosRight,Obj_01_ImagePosTop,Obj_01_ImagePosBottom,Obj_02_ImagePosLeft,Obj_02_ImagePosRight,Obj_02_ImagePosTop,Obj_02_ImagePosBottom,Obj_03_ImagePosLeft,Obj_03_ImagePosRight,Obj_03_ImagePosTop,Obj_03_ImagePosBottom,Obj_04_ImagePosLeft,Obj_04_ImagePosRight,Obj_04_ImagePosTop,Obj_04_ImagePosBottom,Obj_05_ImagePosLeft,Obj_05_ImagePosRight,Obj_05_ImagePosTop,Obj_05_ImagePosBottom,Obj_06_ImagePosLeft,Obj_06_ImagePosRight,Obj_06_ImagePosTop,Obj_06_ImagePosBottom,Obj_07_ImagePosLeft,Obj_07_ImagePosRight,Obj_07_ImagePosTop,Obj_07_ImagePosBottom,Obj_08_ImagePosLeft,Obj_08_ImagePosRight,Obj_08_ImagePosTop,Obj_08_ImagePosBottom,Obj_09_ImagePosLeft,Obj_09_ImagePosRight,Obj_09_ImagePosTop,Obj_09_ImagePosBottom
45678,583,623,455,498,514,548,454,487,464,487,443,467,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45679,584,622,456,498,514,547,454,486,465,488,445,469,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45680,584,623,456,498,515,548,454,486,466,489,447,471,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45681,583,623,457,500,513,547,456,489,464,488,441,468,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45682,584,623,457,500,514,547,456,489,465,488,443,469,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45683,584,623,458,500,514,548,456,489,466,489,444,471,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45684,585,624,458,500,515,548,456,489,467,490,445,472,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45685,584,623,459,501,514,547,457,490,466,489,443,470,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45686,585,624,459,501,515,548,458,490,467,490,445,472,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45687,586,624,461,502,515,549,458,491,467,492,447,475,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
