Image_Number,Ped_00_ImagePosLeft,Ped_00_ImagePosRight,Ped_00_ImagePosTop,Ped_00_ImagePosBottom,Ped_01_ImagePosLeft,Ped_01_ImagePosRight,Ped_01_ImagePosTop,Ped_01_ImagePosBottom,Ped_02_ImagePosLeft,Ped_02_ImagePosRight,Ped_02_ImagePosTop,Ped_02_ImagePosBottom,Ped_03_ImagePosLeft,Ped_03_ImagePosRight,Ped_03_ImagePosTop,Ped_03_ImagePosBottom,Ped_04_ImagePosLeft,Ped_04_ImagePosRight,Ped_04_ImagePosTop,Ped_04_ImagePosBottom,Ped_05_ImagePosLeft,Ped_05_ImagePosRight,Ped_05_ImagePosTop,Ped_05_ImagePosBottom,Ped_06_ImagePosLeft,Ped_06_ImagePosRight,Ped_06_ImagePosTop,Ped_06_ImagePosBottom,Ped_07_ImagePosLeft,Ped_07_ImagePosRight,Ped_07_ImagePosTop,Ped_07_ImagePosBottom,Ped_08_ImagePosLeft,Ped_08_ImagePosRight,Ped_08_ImagePosTop,Ped_08_ImagePosBottom,Ped_09_ImagePosLeft,Ped_09_ImagePosRight,Ped_09_ImagePosTop,Ped_09_ImagePosBottom,Ped_10_ImagePosLeft,Ped_10_ImagePosRight,Ped_10_ImagePosTop,Ped_10_ImagePosBottom,Ped_11_ImagePosLeft,Ped_11_ImagePosRight,Ped_11_ImagePosTop,Ped_11_ImagePosBottom,Ped_12_ImagePosLeft,Ped_12_ImagePosRight,Ped_12_ImagePosTop,Ped_12_ImagePosBottom,Ped_13_ImagePosLeft,Ped_13_ImagePosRight,Ped_13_ImagePosTop,Ped_13_ImagePosBottom,Ped_14_ImagePosLeft,Ped_14_ImagePosRight,Ped_14_ImagePosTop,Ped_14_ImagePosBottom,Ped_15_ImagePosLeft,Ped_15_ImagePosRight,Ped_15_ImagePosTop,Ped_15_ImagePosBottom,Ped_16_ImagePosLeft,Ped_16_ImagePosRight,Ped_16_ImagePosTop,Ped_16_ImagePosBottom,Ped_17_ImagePosLeft,Ped_17_ImagePosRight,Ped_17_ImagePosTop,Ped_17_ImagePosBottom,Ped_18_ImagePosLeft,Ped_18_ImagePosRight,Ped_18_ImagePosTop,Ped_18_ImagePosBottom,Ped_19_ImagePosLeft,Ped_19_ImagePosRight,Ped_19_ImagePosTop,Ped_19_ImagePosBottom
387431,36,120,467,723,620,644,479,551,1228,1280,435,667,936,972,467,579,672,684,483,523,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387432,20,108,467,727,620,644,479,551,1232,1280,435,671,940,976,463,579,672,688,483,523,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387432,20,108,467,727,620,644,479,551,1232,1280,435,671,940,976,463,579,672,688,483,523,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387435,0,80,463,743,620,644,475,551,952,984,463,567,676,692,479,527,1256,1280,431,667,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387436,0,72,463,747,620,644,475,551,952,988,463,563,676,692,479,523,1264,1280,427,671,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387437,0,60,463,751,620,644,475,551,956,988,463,563,676,692,479,523,1268,1280,427,671,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387438,0,48,463,755,616,644,475,555,960,992,463,559,676,692,475,523,1272,1280,427,671,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387439,0,20,467,759,616,640,475,547,960,1000,467,587,676,696,483,535,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387440,0,8,467,763,616,640,475,547,964,1004,467,587,676,696,483,539,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
387441,0,0,463,767,616,640,479,551,964,1004,467,587,676,696,483,539,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
